# q	i	err
5.228900000000000214e-02 1.243311837142855886e-03 1.952565023285714576e-03
5.246900000000000175e-02 1.334601604285713195e-03 2.209589475999999917e-03
5.264900000000000135e-02 1.636920800000000098e-03 1.929657033285714449e-03
5.282799999999999996e-02 1.399641347142855123e-03 1.732968847428571421e-03
5.300799999999999956e-02 1.571023880000000771e-03 1.747268645142857277e-03
5.318799999999999917e-02 1.699635699999998192e-03 1.648061026857142956e-03
5.336799999999999877e-02 1.754222025714285678e-03 1.676601705285714382e-03
5.354699999999999738e-02 1.531937788571428784e-03 1.638564899142857080e-03
5.372699999999999698e-02 1.183569827142857012e-03 1.931299799428571337e-03
5.390699999999999659e-02 8.574741685714290561e-04 1.597077299285714399e-03
5.408700000000000313e-02 1.012375314285712726e-03 1.622737568000000080e-03
5.426700000000000274e-02 8.228146414285706853e-04 1.605045229714285610e-03
5.444600000000000134e-02 8.727677085714274311e-04 1.675313757285714494e-03
5.462600000000000094e-02 1.533801149999999619e-03 1.616706723285714397e-03
5.480600000000000055e-02 1.513173602857143365e-03 2.143111542999999626e-03
5.498600000000000015e-02 1.766019775714285740e-03 1.769435052999999980e-03
5.516499999999999876e-02 1.622419155714287112e-03 1.581890620000000200e-03
5.534499999999999836e-02 1.432619844285714251e-03 1.473813241428571395e-03
5.552499999999999797e-02 1.206845732857141302e-03 1.571276163000000139e-03
5.570499999999999757e-02 1.331269400000000295e-03 1.710904049142857172e-03
5.588400000000000312e-02 1.622557579999999583e-03 1.752991161142857272e-03
5.606400000000000272e-02 1.376657418571427182e-03 1.531705591285714143e-03
5.624400000000000233e-02 1.186129947142856725e-03 1.572755982428571337e-03
5.642400000000000193e-02 -1.605223331428573194e-03 6.243332484571428864e-03
5.660300000000000054e-02 1.821440714285711704e-04 2.640252224000000456e-03
5.678300000000000014e-02 1.057667831428572239e-03 1.491042467857142933e-03
5.696299999999999975e-02 1.163135100000000071e-03 1.564682529714285855e-03
5.714299999999999935e-02 1.393852502857144057e-03 1.576629568000000080e-03
5.732199999999999795e-02 1.008791437142856186e-03 1.509836979000000069e-03
5.750199999999999756e-02 1.150361434285713646e-03 1.418228187714285849e-03
5.768199999999999716e-02 1.106261855714285765e-03 1.442141550142857350e-03
5.786199999999999677e-02 1.083589477142856729e-03 1.550694478142857153e-03
5.804100000000000231e-02 1.096471799999998442e-03 1.443205548571428872e-03
5.822100000000000192e-02 1.039774837142857242e-03 1.419941520285714336e-03
5.840100000000000152e-02 7.262480442857117925e-04 1.611964197285714259e-03
5.858100000000000113e-02 7.016323028571426782e-04 1.472807838571428682e-03
5.875999999999999973e-02 1.102026230000000473e-03 1.485577986714285660e-03
5.893999999999999934e-02 1.133893397142857412e-03 1.447219881142857269e-03
5.911999999999999894e-02 7.091457685714294820e-04 1.526228147999999975e-03
5.929999999999999855e-02 1.250358208571427298e-03 1.450553826285714155e-03
5.947999999999999815e-02 1.213272352857144376e-03 1.386844138714285425e-03
5.965899999999999676e-02 1.133036039999999866e-03 1.566631331285714326e-03
5.983900000000000330e-02 8.901956671428583020e-04 1.459685578857142837e-03
6.001900000000000290e-02 8.057907028571426261e-04 1.518628528142857087e-03
6.019900000000000251e-02 8.497822957142848630e-04 1.490282277285714463e-03
6.037800000000000111e-02 1.113812229999999997e-03 1.419947541428571427e-03
6.055800000000000072e-02 7.879403385714279411e-04 1.335106090857143173e-03
6.073800000000000032e-02 6.772224428571420188e-04 1.411554705142857276e-03
6.091799999999999993e-02 8.804028114285699161e-04 1.455751833714285680e-03
6.109699999999999853e-02 6.430414671428579367e-04 1.846823830571428515e-03
6.127699999999999814e-02 2.679076942857120465e-04 2.192813579714285744e-03
6.145699999999999774e-02 2.101681557142849968e-04 1.556505393571428614e-03
6.163699999999999735e-02 4.474644328571428264e-04 1.489778296571428419e-03
6.181600000000000289e-02 5.320495428571360213e-05 2.160307694857143378e-03
6.199600000000000249e-02 -2.729151880000003829e-03 6.839389286571428452e-03
